JD,RA_IOC(deg),Dec_IOC(deg),RA_JPL(deg),Dec_JPL(deg),DeltaRA(mas),DeltaDec(mas),DeltaPos(km),DeltaVel(mm/s)
2461004.500000,-44.787658,-18.415096,71.308955,-1.576678,-417947808.459042,-60618304.859931,814067742.569304,28807.035577
2461005.000000,-44.700726,-18.394749,71.390908,-1.573186,-417929883.736259,-60557627.584223,814075073.180026,28806.168331
2461005.500000,-44.613827,-18.374365,71.472868,-1.569690,-417912101.866615,-60496830.549570,814082539.299470,28805.300727
2461006.000000,-44.526959,-18.353945,71.554836,-1.566191,-417894462.875912,-60435913.986861,814090140.822018,28804.432770
2461006.500000,-44.440123,-18.333488,71.636812,-1.562688,-417876966.789122,-60374878.126936,814097877.641094,28803.564465
2461007.000000,-44.353319,-18.312994,71.718796,-1.559182,-417859613.630394,-60313723.200595,814105749.649158,28802.695817
2461007.500000,-44.266546,-18.292464,71.800788,-1.555672,-417842403.423064,-60252449.438587,814113756.737716,28801.826830
2461008.000000,-44.179806,-18.271897,71.882788,-1.552159,-417825336.189658,-60191057.071619,814121898.797313,28800.957510
2461008.500000,-44.093097,-18.251294,71.964795,-1.548642,-417808411.951899,-60129546.330348,814130175.717537,28800.087860
