================================================================================
                  ASTEROID OCCULTATION PREDICTION
================================================================================

Asteroid: 17030_2545273077891886976_2025-11-29 08:41:59
Star: Gaia DR3 2545273077891886976
Event time: 2.46101e+06
Close approach: 236456 arcsec
Position angle: 81.27 deg
Max duration: 0 sec
Probability: 0%

Shadow Path:
  Latitude    Longitude   Time (UTC)        Duration
  -21.1007  -84.8257  2461008.8743  0.0000s
  -21.1007  -84.8257  2461008.8750  0.0000s
  -21.1007  -84.8257  2461008.8757  0.0000s
  -21.1006  -84.8257  2461008.8764  0.0000s
  -21.1006  -84.8257  2461008.8771  0.0000s
  -21.1006  -84.8257  2461008.8778  0.0000s
  -21.1006  -84.8257  2461008.8785  0.0000s
  -21.1006  -84.8257  2461008.8792  0.0000s
  -21.1006  -84.8257  2461008.8799  0.0000s
  -21.1006  -84.8257  2461008.8806  0.0000s
  -21.1005  -84.8257  2461008.8812  0.0000s
  -21.1005  -84.8257  2461008.8819  0.0000s
  -21.1005  -84.8257  2461008.8826  0.0000s
  -21.1005  -84.8257  2461008.8833  0.0000s
  -21.1005  -84.8257  2461008.8840  0.0000s
  -21.1005  -84.8257  2461008.8847  0.0000s
  -21.1004  -84.8257  2461008.8854  0.0000s
  -21.1004  -84.8257  2461008.8861  0.0000s
  -21.1004  -84.8257  2461008.8868  0.0000s
  -21.1004  -84.8257  2461008.8875  0.0000s
  -21.1004  -84.8257  2461008.8882  0.0000s
  -21.1004  -84.8257  2461008.8889  0.0000s
  -21.1004  -84.8257  2461008.8896  0.0000s
  -21.1003  -84.8257  2461008.8903  0.0000s
  -21.1003  -84.8257  2461008.8910  0.0000s
  -21.1003  -84.8257  2461008.8917  0.0000s
  -21.1003  -84.8257  2461008.8924  0.0000s
  -21.1003  -84.8257  2461008.8931  0.0000s
  -21.1003  -84.8257  2461008.8937  0.0000s
  -21.1002  -84.8257  2461008.8944  0.0000s
  -21.1002  -84.8257  2461008.8951  0.0000s
  -21.1002  -84.8257  2461008.8958  0.0000s
  -21.1002  -84.8257  2461008.8965  0.0000s
  -21.1002  -84.8257  2461008.8972  0.0000s
  -21.1002  -84.8257  2461008.8979  0.0000s
  -21.1002  -84.8257  2461008.8986  0.0000s
  -21.1001  -84.8257  2461008.8993  0.0000s
  -21.1001  -84.8257  2461008.9000  0.0000s
  -21.1001  -84.8257  2461008.9007  0.0000s
  -21.1001  -84.8257  2461008.9014  0.0000s
  -21.1001  -84.8257  2461008.9021  0.0000s
  -21.1001  -84.8257  2461008.9028  0.0000s
  -21.1001  -84.8257  2461008.9035  0.0000s
  -21.1000  -84.8257  2461008.9042  0.0000s
